Company,Founder/CEO,Approx no. Employees,Change In Rank,Years on Fortune 500,BW logo URL,White on Black,Theme color,Theme Image
U.S. Postal Service,"Benjamin Franklin (deceased), Louis DeJoy","576,065",-8,29,https://cdn.freebiesupply.com/logos/large/2x/united-states-postal-service-3-logo-black-and-white.png,,,
Nissan Motor,"Yoshisuke Aikawa (deceased), Makoto Uchida","139,418",1,29,https://truckersagainsttrafficking.org/wp-content/uploads/2020/01/Nissan-logo-720x620-1-300x212.png,,,
Bank of Communications,Liu Jun,"91,823",-6,15,https://cdn.iconscout.com/icon/free/png-256/free-bank-of-communications-2270651-1891178.png,,,
Siemens,"Werner von Siemens (deceased), Roland Busch","311,000",-3,29,https://cdn.freebiesupply.com/logos/large/2x/siemens-3-logo-black-and-white.png,,,
Jinneng Holding Group,Li Guobiao,"470,839",–,11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-mHbdzX-oUYHsZQp6Wow91M2Vk4d47GkgAjDiyh81_uXAieJx,,,
Albertsons,"Joe Albertson (deceased), Vivek Sankaran","198,650",6,19,https://brandslogos.com/wp-content/uploads/images/large/albertsons-logo-black-and-white.png,,,
Guangzhou Automobile Industry Group,Zeng Qinghong,"119,425",21,11,https://upload.wikimedia.org/wikipedia/commons/d/dc/%D7%9C%D7%95%D7%92%D7%95_%D7%A9%D7%9C_%D7%A7%D7%91%D7%95%D7%A6%D7%AA_GAC.png,,,
Aluminum Corp. of China,Xiong Weiping,"130,416",-27,16,https://seeklogo.com/images/A/aluminum-corporation-of-china-logo-E7A102F6D8-seeklogo.com.png,,,
General Electric,"Thomas Edison (deceased), H. Lawrence Culp Jr.","172,000",-2,29,https://cdn.worldvectorlogo.com/logos/general-electric-black.svg,,,
Taiwan Semiconductor,"Morris Chang, C. C. Wei","73,090",57,9,https://strategyinvest.de/wp-content/uploads/2022/04/TSMC-Logo.png,,,
Shaanxi Coal & Chemical Industry,Yang Zhaoqian,"138,047",40,9,https://s3-symbol-logo.tradingview.com/shaanxi-coal-industry-company-limited--600.png,,,
Munich Re Group,"Carl Thieme (deceased), Joachim Wenning","41,389",-37,29,https://logonature.com/img/gallery/project_411.png,,,
Jiangxi Copper,Zheng Gaoqing,"33,248",5,11,https://s3-symbol-logo.tradingview.com/jiangxi-copper-co-ltd--600.png,,,
Shandong Weiqiao Pioneering Group,"Zhang Hongxia, Zhang Bo","98,100",27,12,https://weiqiaogermany.de/wp-content/uploads/weiqiaogermany_logo.png,,,
China Vanke,Wang Shi,"131,817",5,8,https://image.pitchbook.com/FW3QvdDEp50Ag0WxVovUVxduYvJ1709624747392_200x200,,,
Wilmar International,"Kuok Khoon Hong, Kuok Khoon Hong","100,000",18,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMFTPxcYT0BJDNl2MVkvK0nirWmat35XTj9A&s,TRUE,,
China Merchants Group,"Li Hongzhang, Li Jianhong","276,019",-23,6,https://www.cmhk.com/images/2015/zsxxgf/31205.jpg,,,
Toyota Tsusho,"Kiichiro Toyoda (deceased), Ichiro Kashitani","66,944",-4,15,https://seeklogo.com/images/T/toyota-tsusho-logo-9A91F32825-seeklogo.com.png,,,
JBS,"Shanid bin Mohammed, Shanid bin Mohammed","260,000",17,14,https://brand.jbsglobal.com/_next/image/?url=https%3A%2F%2Fbrand-backend.jbsglobal.com%2Fwp-content%2Fuploads%2F2023%2F09%2Fjbs-monocromatica.png&w=1366&q=75,,,
Repsol,Josu Jon Imaz,"23,426",73,29,https://upload.wikimedia.org/wikipedia/commons/d/df/Logo_de_Repsol.jpg,,,
China Merchants Bank,Tian Huiyu,"112,999",-5,12,https://cdn.iconscout.com/icon/free/png-256/free-china-merchants-bank-2270649-1891176.png,,,
BHP Group,Mike Henry,"39,210",33,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIOkxirw7pnQQf14Er-v65h8FytTHWD5kcOIkBpXJ8T_01KNZg1DDI8N5Q8UCFxykH8Fg&usqp=CAU,,,
Nippon Life Insurance,Ashish Vohra,"88,528",-17,29,https://brandslogos.com/wp-content/uploads/images/large/nippon-life-insurance-logo-black-and-white.png,,,
Dai-ichi Life Holdings,Tetsuya Kikuta,"60,997",-15,29,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRyU8gN3mGg9OdfxkJapgvU-P_4Tif6zssdrA_fln4hWVPSAULq,TRUE,,
MetLife,Michel Khalaf,"45,000",-10,29,https://www.federaltimes.com/resizer//VJ_9ms-9klce7xU8ItvPduARWu4=/800x0/filters:quality(70)/cloudfront-us-east-1.images.arcpublishing.com/mco/YJWWIHNTVZBQVA55FVC6PJF4PY.png,TRUE,,
Roche Group,"Fritz Hoffmann-La Roche (deceased), Thomas Schinecker","103,613",-15,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrhXS66EPtMSkzdx2Cof7byUCyKxafxThj8Q&s,TRUE,,
Goldman Sachs Group,"Marcus Goldman, David Solomon","48,500",10,24,https://seeklogo.com/images/G/goldman-sachs-new-2022-white-logo-39E22A40E2-seeklogo.com.png,,,
Sysco,"John Baugh, Kevin Hourican","70,510",75,29,https://moduurn.com/wp-content/uploads/2021/01/Sysco-logo.png,,,
Mitsubishi UFJ Financial Group,"Yataro Iwasaki, Hironori Kamezawa","127,122",53,22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT141nW2loqFUgncdlJSIaWxejwi_BT9MPUzQ&s,,,
Dongfeng Motor,Makoto Uchida,"134,637",-66,14,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQ6op2VeeNQyhgiWV6XTJh1xG6YWuXQ0waoGBScPFNrcIsg0RhAtsaXb2HGqgdHv7c8nI&usqp=CAU,,,
AEON,"Takuya Okada, Motoya Okada","369,404",-41,29,https://brandslogos.com/wp-content/uploads/images/large/aeon-logo-black-and-white.png,,,
Marubeni,"Chubei Itoh, Toshio (Tony) Namiki","49,546",-33,29,https://cdn.freebiesupply.com/logos/large/2x/marubeni-logo-png-transparent.png,,,
China Poly Group,Xu Niansha,"118,007",-10,9,https://media.licdn.com/dms/image/C560BAQFgtJQH-7moLQ/company-logo_200_200/0/1631418832571/poly_property_group_co_ltd_logo?e=2147483647&v=beta&t=C5ZzRMDoeEWvDsBL6cyoEQusT8QuVzfPw8Eks48hCjo,,,
China Pacific Insurance (Group),Fan Fu,"104,502",-10,13,https://companieslogo.com/img/orig/601601.SS-7ba59922.png?t=1720244490,,,
Beijing Automotive Group,Xu Heyi,"95,000",-31,11,"https://static.wixstatic.com/media/f2bf43_908e640f52db46a981ccef5911695c9c~mv2.png/v1/fill/w_1059,h_600,al_c/f2bf43_908e640f52db46a981ccef5911695c9c~mv2.png",,,
Bunge Global,"Johann P. G. Bunge, Gregory A. Heckman","23,000",25,21,https://www.knowde.com/_next/image?url=https%3A%2F%2Fstatic.knowde.com%2Fstatic-home-page%2Fimg%2Fz2%2FTrustedBy_Bunge.png&w=384&q=75,,,
RTX,Gregory J. Hayes,"182,000",2,29,https://wbcollaborative.org/wp-content/uploads/2023/01/RTX-Logo_rgb-black-1024x392.png,,,
Kia,Ho Sung Song,"35,847",16,12,https://bucket.dealervenom.com/2023/05/Kia.png?auto=compress%2Cformat&ixlib=php-3.3.1,,,
Boeing,"William Boeing (deceased), David L. Calhoun","156,000",7,29,https://marketplacedesignoye.s3.ap-south-1.amazonaws.com/boeing-black-icon-vector-logo-bold.png,,,
StoneX Group,"Saul Stone,Sean O’Connor","3,615",129,13,https://wikiwandv2-19431.kxcdn.com/_next/image?url=https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/StoneX_Group_Inc_official_2023_logo.svg/640px-StoneX_Group_Inc_official_2023_logo.svg.png&w=640&q=50,,,
Lockheed Martin,"Allan Lockheed, James Taiclet","116,000",-14,29,https://companieslogo.com/img/orig/LMT.D-a5519d61.png?t=1720244492,TRUE,,
Morgan Stanley,"J.P. Morgan (deceased),James Gorman","82,427",11,26,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRT3Xn7-7VVdoTsmW0iVk6-a47Ou4SwXBWaPoV6iJkxXKXeB9NZElDhK2PJ3ZU9lvrFtyw&usqp=CAU,,,
POSCO Holdings,"Park Tae-Joon, Choi Jeong-Woo","38,175",-13,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTZGAL0FVP1iKdtGx67rU32rUH_5SJGmqTog&s,TRUE,,
Vinci,"Alexandre Giros and Louis Loucheur, Xavier Huillard","271,648",16,23,https://companieslogo.com/img/orig/DG.PA_BIG.D-8db617a1.png?t=1720244491,TRUE,,
OMV Group,Alfred Stern,"22,308",127,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQl5CNnUhw5EF6GvqMeL3YiqiN-M9awHL7y-A&s,,,
LG Electronics,"Koo In-hwo, Bong-seok Kwon","74,000",-17,23,https://wallpapers.com/images/hd/l-g-electronics-logo-f9kmx4i2fv6k7yym.jpg,,,
Greenland Holding Group,Yu Liang Zhang,"70,177",-80,12,https://s3-symbol-logo.tradingview.com/greenland-limited--600.png,,,
Country Garden Holdings,"Yang Guoqiang, Yang Huiyan","69,932",-68,7,https://companieslogo.com/img/orig/2007.HK-f1d64658.png?t=1720244490,,,
Itaú Unibanco Holding,Milton Maluhy Filho,"101,094",126,10,https://upload.wikimedia.org/wikipedia/commons/1/19/Ita%C3%BA_Unibanco_logo_2023.svg,,,
Société Générale,Slawomir Krupa,"115,466",12,27,https://brandslogos.com/wp-content/uploads/images/large/societe-generale-logo-black-and-white.png,,,
China Huaneng Group,Shu Yinbiao,"124,588",6,15,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Huaneng.png/140px-Huaneng.png,,,
Unilever,"William Hesketh Lever (deceased), James Darcy Lever (deceased), Hein Schumacher","127,056",-5,29,https://cdn.icon-icons.com/icons2/3915/PNG/512/unilever_logo_icon_249313.png,,,
Intel,"Robert Noyce (deceased), Gordon Moore, Pat Gelsinger","131,900",-66,29,https://static.vecteezy.com/system/resources/previews/021/496/384/original/intel-logo-brand-software-computer-symbol-black-design-illustration-free-vector.jpg,,,
BYD,"Wang Chuanfu, Wang Chuanfu","570,060",224,2,https://www.leaseplan.com/-/media/leaseplan-digital/int/business/images/brand-pages/brand-logos/byd.png?rev=918aa52ff3f743c2acfca52f90cd7caf,,,
HP,"Bill Hewlett (deceased), Dave Packard (deceased), Enrique Lores","58,000",-11,29,https://cdn.freebiesupply.com/images/large/2x/hewlett-packard-logo-black-and-white.png,,,
Alimentation Couche-Tard,"Alain Bouchard, Brian Hannasch","122,000",94,10,https://cdn.freebiesupply.com/logos/thumbs/2x/couche-tard-1-logo.png,,,
TD Synnex,Rich Hume,"28,500",236,3,https://companieslogo.com/img/orig/SNX.D-e32f6f9b.png?t=1720244494,TRUE,,
Orlen,Daniel Obajtek,"64,494",208,15,https://optimalenergy.pl/media/filemanager/1ee7b126-6ea4-65b4-8502-4f67515c2a58/orlenlogo.webp,,,
Lenovo,"Liu Chuanzhi, Yang Yuanqing","77,000",-46,14,https://brandslogos.com/wp-content/uploads/images/large/lenovo-logo-black-and-white-2.png,,,
Panasonic Holdings,"Konosuke Matsushita (deceased),Yuki Kusumi","233,391",-25,29,https://logolook.net/wp-content/uploads/2022/08/Panasonic-Logo.png,,,
Airbus,"Felix Kracht, Guillaume Faury","134,267",-12,29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8T9bTuG2GYXchLJK6aXxv-fHqyzQ3XB-ZRj-_TDjT3WMWiu4_,,,
Accenture,"Arthur E. Andersen, Clarence DeLany, Steve Wick, Julie Sweet","721,000",48,22,https://cdn.freebiesupply.com/images/large/2x/accenture-logo-black-and-white.png,,,
Idemitsu Kosan,Shunichi Kito,"16,795",29,29,https://uspto.report/TM/75328447/mark.png,,,
Shenghong Holding Group,Miao Hangen,"39,059",19,4,https://www.spandexfabric.cn/wp-content/uploads/shenghong-logo.png,,,
Industrial Bank,B. Doyle Mitchell Jr,"69,840",-15,11,https://i.pinimg.com/originals/d3/2d/01/d32d018136507dc5697d02974c927300.png,,,
IBM,"Thomas J. Watson (deceased), Charles Ranlett Flint (deceased), Arvind Krishna","303,100",-56,29,https://techfieldday.com/wp-content/uploads/2018/01/IBM-Logo-black-PNG-Transparent.png,,,
Zhejiang Geely Holding Group,"Li Shufu,Mr. Daniel Li Donghui","131,517",4,12,https://wikiwandv2-19431.kxcdn.com/_next/image?url=https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Geely_Auto_2023.svg/langsimple-640px-Geely_Auto_2023.svg.png&w=640&q=50,,,
HCA Healthcare,Samuel N. Hazen,"250,500",-5,29,https://d9p7civm2914u.cloudfront.net/wp-content/uploads/2019/11/Logo_HCA.png,TRUE,,
Prudential Financial (U.S.),"John F. Dryden, Charles F. Lowrey","39,583",-52,29,https://banner2.cleanpng.com/20180414/uiq/kisspng-real-estate-investing-prudential-financial-pgim-in-company-5ad1a92382b954.4357933915236897635355.jpg,,,
Louis Dreyfus,"Léopold Louis-Dreyfus, Michael Gelchie","16,300",48,10,https://logowik.com/content/uploads/images/louis-dreyfus-group9613.logowik.com.webp,,,
HBIS Group,Yu Yong,"99,807",-40,15,https://content.influencemap.org//site/data/001/361/1361497.png,,,
Caterpillar,"Benjamin Holt (deceased), C. L. Best (deceased), Jim Umpleby","109,100",35,29,https://cdn.icon-icons.com/icons2/3911/PNG/512/caterpillar_logo_icon_247387.png,,,
Merck (U.S.),"George W. Merck (deceased), Robert M. Davis","68,000",31,29,https://preview.thenewsmarket.com/Previews/NonAssetImages/MR_760/source/cd021895-1a57-4cbc-b5b9-219aa26f385b.png,,,
Deutsche Bahn,Richard Lutz,"324,136",-2,29,https://cdn.icon-icons.com/icons2/3914/PNG/512/deutschebahn_logo_icon_249041.png,,,
Bharat Petroleum,Krishnakumar Gopalan,"9,193",62,20,https://cdn.freebiesupply.com/logos/large/2x/bharat-petroleum-logo-svg-vector.svg,,,
World Kinect,"Ralph Weiser and Jerrold Blair, Patrick O’Brien","5,214",221,11,https://cdn.prod.website-files.com/616d4561024a338efc0472fc/65b12e2f90038d734627fa7d_World%20Kinect%20White%20Logo.png,TRUE,,
State Bank of India,Dinesh Kumar Khara,"235,858",1,18,https://brandslogos.com/wp-content/uploads/images/large/sbi-state-bank-of-india-logo-black-and-white.png,,,
Nippon Steel Corporation,Eiji Hashimoto,"114,029",-22,29,https://www.steelmarketupdate.com/wp-content/uploads/sites/2/2024/01/Nippon-Steel_Logo.png,,,
Energie Baden-Württemberg,Andreas Schell,"25,339",131,13,https://upload.wikimedia.org/wikipedia/commons/e/e5/EnBW-Logo.svg,,,
New York Life Insurance,"James DePeyster Ogden, Craig DeSanto","15,050",25,29,https://1000logos.net/wp-content/uploads/2020/07/New-York-Life-Logo.jpg,,,
Enterprise Products Partners,"Dan L. Duncan,A.J. “Jim” Teague","7,300",104,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1JJUQ4mSfUUwmOZiUBaVfPmYvJwY7jy65lAh4EU-AK2yQcaMjqVFAPvXNd92UIGPmFlY&usqp=CAU,,,
AbbVie,"Richard A. Gonzalez,Richard A. Gonzalez","50,000",-13,8,https://seekvectorlogo.com/wp-content/uploads/2018/01/abbvie-vector-logo.png,,,
Anheuser-Busch InBev,"InBev, Anheuser-Busch, Michel Doukeris","166,632",-2,18,https://www.tvisioninsights.com/hubfs/2022%20Assets%20TMK/Logo-Jun_02-Anheuser-Busch_InBev.png,TRUE,,
Tokyo Electric Power,Tomoaki Kobayakawa,"38,007",48,29,https://brandslogos.com/wp-content/uploads/images/large/tepco-logo-black-and-white.png,,,
Plains GP Holdings,Willie Chiang,"4,100",86,8,https://www.globaldata.com/Uploads/Company/1525073/logo.JPG,,,
Zhejiang Hengyi Group,Mr. Qiu Yibo,"21,261",20,3,https://s3.amazonaws.com/media.mixrank.com/hero-img/293d6242bc72feb7e075df9ac71e3e33,,,
Dow,"Herbert Henry Dow (deceased), Jim Fitterling","37,800",-10,4,https://cdn.freebiesupply.com/logos/large/2x/dow-3-logo-png-transparent.png,,,
Iberdrola,Ignacio S. Galán,"40,090",58,19,https://www.bmcsoftware.cn/content/dam/bmc/logos/third-party/logo-Iberdrola-white.png,TRUE,,
China National Building Material Group,Zhou Yuxian,"208,857",-51,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNLFz6bH0ShWcwBZAT15hvsGFiySQdHniD4A&s,,,
American International Group,"Cornelius Vander Starr (deceased), Peter Zaffino","26,200",7,28,https://upload.wikimedia.org/wikipedia/commons/5/50/AIG_new_logo.svg,,,
Talanx,Torsten Leue,"23,669",-5,10,https://nag.ch/gallery/preview/472/1200px-talanxsvg@2x.png,,,
Sberbank,Herman Gref,"210,661",20,16,https://static-00.iconduck.com/assets.00/sberbank-icon-512x465-aahaii7a.png,,,
Banco do Brasil,"John VI of Portugal, Tarciana Medeiros","85,953",214,29,https://cdn.freebiesupply.com/logos/large/2x/banco-do-brasil-01-logo-black-and-white.png,,,
China Electronics Technology Group,Xiong Qunli,"235,912",-19,8,"https://images.crunchbase.com/image/upload/c_pad,h_256,w_256,f_auto,q_auto:eco,dpr_1/ohxnvapkjpndghwqtx17",,,
American Express,Stephen J. Squeri,"77,300",67,29,https://brandslogos.com/wp-content/uploads/images/large/american-express-logo-black-and-white-1.png,,,
Rio Tinto Group,"Hugh Matheson, Jakob Stausholm","53,726",-53,18,https://i0.wp.com/download.logo.wine/logo/Rio_Tinto_(corporation)/Rio_Tinto_(corporation)-Logo.wine.png?ssl=1,,,
Publix Super Markets,"George W. Jenkins (deceased), Kevin Murphy","242,000",28,29,https://ourseniors.net/wp-content/uploads/2024/04/Publix-Logo-4.png,,,
China Energy Engineering Group,Song Hailiang,"116,263",13,10,https://ammoniaenergy.org/wp-content/uploads/2023/05/CEEC.png,,,
Tsingshan Holding Group,Xiang Guangda,"100,982",-19,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFMNUEnkd2ut7FEnlieNXp09M36yzTJI_5jQ&s,,,
Korea Electric Power,Seung-Il Cheong,"49,237",-9,29,https://i.namu.wiki/i/dsXGZctGsAwXrXhnkPeJJP43gFij-unmp71rRnIrbCtizuVwUGlX7At_uEDtMyXi8eyd9MQvW9rnZTcF_ow4NA.svg,,,
Koç Holding,"Vehbi Koç (deceased), Levent Çakıroğlu","114,677",98,22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-KXlcFIGWf6w7dCWrs0OVGmvOuHnH8j8IDQ&s,,,
Shanghai Pudong Development Bank,Zheng Yang,"64,731",-34,11,https://icons.veryicon.com/png/o/miscellaneous/website-icon/pudong-development-bank-4.png,,,
Charter Communications,"Barry Babcock, Jerald Kent, Howard Wood, Christopher L. Winfrey","101,700",-2,7,https://www.pingplotter.com/themes/pingman/images/solutions/thumbs/charter.png,,,
State Power Investment,Wang Binghua,"123,401",-2,12,https://media.licdn.com/dms/image/C4E0BAQEqTsA5RttxZA/company-logo_200_200/0/1630596386389?e=2147483647&v=beta&t=MmERsePiYDCD9s_glW7CWVaGxlvlR-BTeSU-pw9aDYE,,,
Saint-Gobain,Benoît Bazin,"155,685",-11,29,https://www.thebesmartproject.eu/sites/default/files/styles/logo/public/2019-02/logo-saint-gobain-black.png?itok=ElT4D8Uq,,,
Daimler Truck Holding,Martin Daum,"102,888",–,1,https://banner2.cleanpng.com/20180811/hbo/a43a647c81f7e575375ff74b1940270a.webp,,,
Bayer,"Friedrich Bayer (deceased), Johann Friedrich Weskott (deceased), Bill Anderson","101,369",-11,29,https://atlantic-technologies.com/wp-content/uploads/2021/01/Logo-bayer-Black-300x300.png,,,
Tyson Foods,"John W. Tyson (deceased), Donnie King","142,000",26,22,https://metroservicesinc.com/wp-content/uploads/2022/03/336-3362057_home-tyson-foods-logo-white-ergonomics-done-right.png,,,
China United Network Communications,Mac lee,"244,508",–,15,https://cdnlogo.com/logos/c/90/china-unicom.svg,,,
Deere,"John Deere (deceased), John C. May","82,239",50,29,https://www.svgrepo.com/show/330742/johndeere.svg,,,
Shaanxi Yanchang Petroleum (Group),Feng Yinguo,"129,525",-12,11,https://17385162.s21i.faiusr.com/4/ABUIABAEGAAgvMfe3wUo54CROzCsAjisAg.png,,,
Royal Bank of Canada,David I. McKay,"91,427",37,29,https://logos-world.net/wp-content/uploads/2021/02/Royal-Bank-of-Canada-Logo-1962-1974.png,,,
Novartis,"Johann Rudolf Geigy-Gemuseus, Vasant Narasimhan","101,703",-23,29,https://companieslogo.com/img/orig/NVS.D-65537dcb.png?t=1720244493,TRUE,,
China State Shipbuilding,Wang Yongliang,"204,497",-29,3,https://ammoniaenergy.org/wp-content/uploads/2019/12/CSSC_logo.png,,,
Banco Bradesco,"Amador Aguiar (deceased), Marcelo de Araujo Noronha","81,222",166,27,https://companieslogo.com/img/orig/BBD.D-b465bbe4.png?t=1720244490,TRUE,,
"Cisco Systems, Inc.","Leonard Bosack (deceased), Sandy Lerner, Chuck Robbins","83,300",–,24,https://parity.org/wp-content/uploads/2023/02/cisco-logo-white-1024x678.png,,,
Nationwide,Kirt Walker,"24,791",14,29,https://static.wikia.nocookie.net/logopedia/images/8/82/Nationwide_Insurance_%282014%29_%28Print%29.svg/revision/latest/scale-to-width-down/250?cb=20180317044017,,,
Allstate,"General Robert E. Wood, Tom Wilson","54,250",-30,28,"https://static.wixstatic.com/media/d74045_2258e986da9141b7935ed9cfc186facc~mv2.png/v1/fill/w_356,h_200,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Allstate-Logo.png",,,
Cenovus Energy,Jon McKenzie,"5,998",107,2,https://energyresearchinnovation.ca/wp-content/uploads/2022/01/CVE_white_RGB.png,TRUE,,
Midea Group,"He Xiangjian,Paul Fang","166,243",-33,8,https://northeast.com.sg/wp-content/uploads/2023/07/BrandsLogo_Blue_Midea-1.png,,,
Sinomach,Zhang Xiaolun,"125,370",-55,13,https://sinomach.com.ec/wp-content/uploads/2020/08/logo_2.png,TRUE,,
Delta Air Lines,"Collett E. Woolman, Ed Bastian","95,000",198,28,https://uspto.report/TM/97048804/mark.png,,,
LyondellBasell Industries,Peter Vanacker,"19,300",24,16,https://companieslogo.com/img/orig/LYB.D-79931c09.png?t=1720244492,TRUE,,
Sumitomo,"Shun’ya Tōji, Masayuki Hyodo","78,221",-3,29,https://cdn.freebiesupply.com/logos/large/2x/sumitomo-logo-png-transparent.png,,,
Ansteel Group,Li Zhen,"163,992",-66,10,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Ansteel.svg/2560px-Ansteel.svg.png,,,
Liberty Mutual Insurance Group,Tim Sweeney,"50,000",1,29,https://www.libertyspecialtymarketslatam.com/safari-pinned-tab.svg?v=zXvXgQW92k,,,
TJX,"Bernard Cammarata (deceased), Ernie Herrman","329,000",-5,22,https://www.tramatm.com/_next/image?url=https%3A%2F%2Ftrama-static.s3.eu-central-1.amazonaws.com%2Fimages%2Fhall-of-fame%2Flogos%2F143-logo.png&w=3840&q=75,,,
Renault,"Louis Renault (deceased), Marcel Renault (deceased), Fernand Renault (deceased), Luca de Meo","105,812",-49,29,https://logowik.com/content/uploads/images/renault-new-black5686.logowik.com.webp,,,
Progressive,"Jack Green (deceased), Joseph Lewis (deceased), Peter Lewis (deceased), Tricia Griffith","55,063",-1,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwT6vLkaKTCOf4v3SkBVmjBeDLVc6VQrKg9Q&s,,,
Edeka Zentrale,Markus Mosa,"408,900",-32,25,https://d2oto3d7z6t29c.cloudfront.net/profile/transformed/59/38/412590_ea7d90733cc747f6af7e554dc979a5e6.png,,,
Jinchuan Group,Cheng Yonghong,"28,930",50,5,https://www.jinchuan-intl.com/images/logo_white.png,TRUE,,
Tokio Marine Holdings,Satoru Komiya,"43,217",-37,29,https://play-lh.googleusercontent.com/2PhKG9gqonaY3kLIpcwERBFMkKlE8iuUv0E0w4QILjBMiDw5HoV0ltQI36B9j2m7KDY,,,
American Airlines Group,"Charles A. Lindbergh, Robert Isom","129,700",188,28,https://www.pikpng.com/pngl/b/541-5416397_american-airlines-icon-png-download-american-airlines-logo.png,,,
Contemporary Amperex Technology,"Robin Zeng, Robin Zeng","118,914",–,1,https://content.influencemap.org//site/data/001/361/1361509.png,,,
Energi Danmark Group,Louise Hahn,220,–,1,https://www.energidanmark.dk/wp-content/uploads/2023/10/energi-danmark-logo-png-1.png,,,
Toronto-Dominion Bank,"Chewett, Bharat Masrani","94,945",72,24,https://static.seekingalpha.com/uploads/2016/2/26/44052306-14564779421247807.png,,,
SoftBank Group,"Masayoshi Son, Masayoshi Son","63,339",-61,16,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBXIsPJefqNK6qRrkgU5FPQV8g7ptU6inyDyAJDhZzRjN9D0HsIdybDZZ7OqjOCHOP9qc&usqp=CAU,,,
Hanwha,"Kim Chong-hee, Kim Seung-Youn","54,918",10,18,https://www.hanwhavision.com/wp-content/themes/hanwha-vision-2024/assets/2024/img/error.png,,,
ING Group,Steven van Rijswijk,"58,232",128,29,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSUQh5wIvwouoB64Qji0AEPXFmVeiq45-nn3WBN8QBJc7NdOQA-,TRUE,,
CHS,Jay D. Debertin,"10,014",64,16,https://banner2.cleanpng.com/20180913/pwt/kisspng-chs-inc-clip-art-minnesota-logo-agriculture-5b9a891025cab4.6665229815368542881548.jpg,,,
Sanofi,Paul Hudson,"91,573",4,19,"https://qtxasset.com/cdn-cgi/image/w=384,h=216,f=auto,fit=crop,g=0.5x0.5/https://qtxasset.com/quartz/qcloud5/media/image/fiercepharma/1643911445/211125_SANOFI_LOGO_RGB.png?VersionId=OMpFG4JDGfUAqlOFOmgnVsWJ9p8X8X.v",,,
Groupe BPCE,Nicolas Namias,"96,936",-18,14,https://www.paytutor.com/img/BPCE-logo.png,,,
Raízen,Ricardo Mussa,"44,738",97,2,https://raizen.spectrumead.com/pluginfile.php/1/theme_space/customlogosidebar/1666215344/logo-raizenn.png,TRUE,,
Vodafone Group,"Gerry Whent, Ernest Harrison, Margherita Della Valle","98,103",-55,24,https://static.vecteezy.com/system/resources/previews/020/927/348/non_2x/vodafone-brand-logo-phone-symbol-white-design-england-mobile-illustration-with-black-background-free-vector.jpg,TRUE,,
Denso,Koji Arima,"164,572",-25,29,https://uspto.report/TM/88625090/mark.png,,,
Performance Food Group,,"34,825",164,3,https://static.stocktitan.net/company-logo/pfgc.png,,,
HD Hyundai,"Chung Ju-yung, Lee Sang-kyun","23,316",–,1,https://assets.weforum.org/organization/image/UBtdYnSQiHccZdOoNe1HrLaDwQ_nOWpnwxob6nNCg50.jpeg,,,
PBF Energy,Thomas J. Nimbley,"3,616",–,2,https://www.tramatm.com/_next/image?url=https%3A%2F%2Ftrama-static.s3.eu-central-1.amazonaws.com%2Fimages%2Fhall-of-fame%2Flogos%2F147-logo.png&w=3840&q=75,,,
Volvo,"Assar Gabrielsson (deceased), Gustaf Larson (deceased), Martin Lundstedt","94,921",16,29,https://logowik.com/content/uploads/images/volvo-new-2021-black1916.jpg,,,
Nike,"Phil Knight(deceased), Bill Bowerman (deceased), John Donahoe","79,100",5,17,https://1000logos.net/wp-content/uploads/2017/03/Nike-Logo-1971-now.png,,,
Bouygues,"Francis Bouygues (deceased), Olivier Roussat","196,154",5,29,https://www.kaliop.com/app/uploads/2019/01/bouygues_black.png,,,
Zhejiang Communications Investment Group,Ruan Liya,"41,757",-8,3,https://p3-sdbk2-media.byteimg.com/tos-cn-i-xv4ileqgde/ce9c894d8d554f0fa799cb0844052fcb~tplv-xv4ileqgde-resize-w:750.image,,,
