NAME,BW logo URL,White on Black,Theme color,Theme Image,
Wolters Kluwer,https://5.imimg.com/data5/SELLER/Default/2024/6/429321244/XG/MJ/LG/142205106/taxwise-tax-preparation-software-250x250.jpeg,,,,🇳🇱 Netherlands
Adyen,https://www.zuora.com/wp-content/uploads/2023/02/Adyen-p.png,,,,🇳🇱 Netherlands
Generali,https://seeklogo.com/images/G/generali-black-logo-80312E0C2F-seeklogo.com.png,,,,🇮🇹 Italy
Deutsche Börse,https://brandslogos.com/wp-content/uploads/images/large/deutsche-borse-group-logo-black-and-white.png,,,,🇩🇪 Germany
DSV,https://seeklogo.com/images/D/DSV_Solutions-logo-028EA776A6-seeklogo.com.png,,,,🇩🇰 Denmark
Ingersoll Rand,https://www.shopperssupplyaz.com/wordpress/wp-content/uploads/2017/04/ingersol-rand.png,TRUE,,,🇮🇪 Ireland
EQT,https://companieslogo.com/img/orig/EQT.ST.D-06b6a46b.png?t=1720244491,TRUE,,,🇸🇪 Sweden
E.ON,https://hv.adeus.de/starxm/static/images/eon_logo_de.png,TRUE,,,🇩🇪 Germany
Exor,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Exor_NV_logo_2017.svg/640px-Exor_NV_logo_2017.svg.png,,,,🇳🇱 Netherlands
Henkel,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSUh4xqP3A2AePay3b9U3MUTDF92n_IZqE62_ku2bCb1SjrUvSv,,,,🇩🇪 Germany
Flutter Entertainment,https://media.licdn.com/dms/image/D5616AQEPUkf59Wb9Ew/profile-displaybackgroundimage-shrink_200_800/0/1669776255581?e=2147483647&v=beta&t=EHlbbekdPJqtFuHZGhyS8bc3nI66RTQ6F9sgJzb3ouk,TRUE,,,🇮🇪 Ireland
Kering,https://cdn.worldvectorlogo.com/logos/kering-logo.svg,,,,🇫🇷 France
Pernod Ricard,https://images.ctfassets.net/64x6cdp3vzq9/76I83Kd4XbALNiQsmukj3m/5a0d991ee73a0feabb92f045cc2f1ef6/Artboard_1_2x.png,,,,🇫🇷 France
Thales,https://www.unitingaviation.com/wp-content/uploads/2020/07/Logo.png,TRUE,,,🇫🇷 France
Capgemini,https://hatch-digital.com/wp-content/uploads/2023/03/CAP.PA_BIG.D-679c041e.png,TRUE,,,🇫🇷 France
Assa Abloy,https://cdn.cookielaw.org/logos/275398a4-ad09-4041-b5dc-7e8d51543d93/a261af0d-3056-41b2-9d1a-2ee248649e73/4002c29d-44e9-46d3-b90a-2b545b94d194/ASSAABLOY_black_150mm150dpi.png,,,,🇸🇪 Sweden
UCB,https://seeklogo.com/images/U/UCB_Pharma-logo-4F3EEA0FC9-seeklogo.com.png,,,,🇧🇪 Belgium
Argenx,https://cms.vivosense.com/wp-content/uploads/2024/04/Argenx-1.png,TRUE,,,🇳🇱 Netherlands
ASM International,https://companieslogo.com/img/orig/ASM.AS_BIG.D-55bce354.png?t=1720244490,TRUE,,,🇳🇱 Netherlands
Beiersdorf,https://images.squarespace-cdn.com/content/v1/63eb9929af50773636e637fb/8826aceb-abba-41dd-b690-fa6c09035285/Beiersdorf.png,TRUE,,,🇩🇪 Germany
Hapag-Lloyd,https://www.hapag-lloyd.com/en/company/press/photos-videos/hapag-lloyd-logo/_jcr_content/par/containermodule_d2c/cmpar/image_fedd/desktop.image.img.transform/content-desktop/c-1471290893020.png/a-1581938663808.png/download_logo_HLAG.png,,,,🇩🇪 Germany
Hannover Rück,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/HannoverRe.svg/1200px-HannoverRe.svg.png,,,,🇩🇪 Germany
Ahold Delhaize,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuGXDjcePmoMq_2gf9WusS3xzNCWbuMIw8Dg&s,,,,🇳🇱 Netherlands
Orange,https://awdela.com/wp-content/uploads/2018/07/LOGO_ORANGE_BLANC.png,TRUE,,,🇫🇷 France
Coloplast,https://logodix.com/logo/1712630.jpg,,,,🇩🇰 Denmark
Novozymes,https://content.sportyfriends.com/uploads/groups/2429/1663854276.webp,TRUE,,,🇩🇰 Denmark
Skandinaviska Enskilda Banken,https://logonoid.com/images/seb-logo.png,,,,🇸🇪 Sweden
Daimler Truck,https://federate-sdv.eu/wp-content/uploads/2024/05/DaimlerTruck.png,,,,🇩🇪 Germany
Verbund AG,https://companieslogo.com/img/orig/OEWA.F_BIG.D-5a1bec68.png?t=1720244493,TRUE,,,🇦🇹 Austria
Aena,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Aena_Logo_New.svg/1280px-Aena_Logo_New.svg.png,,,,🇪🇸 Spain
Ferrovial,https://cdn.prod.website-files.com/64afb0a17ac709727783ca29/65a101e0a223a757c8c8295c_ferrovial.png,TRUE,,,🇪🇸 Spain
KBC,https://kollective.com/wp-content/uploads/resources/uncat/video-testimonial-kbc-bank_ID-68708/KBC-white.png,TRUE,,,🇧🇪 Belgium
Deutsche Bank,https://simg.nicepng.com/png/small/818-8189500_zara-logo-transparent-png-stickpng-deutsche-bank-logo.png,,,,🇩🇪 Germany
Bayer,https://cdn.freebiesupply.com/logos/large/2x/bayer-5-logo-png-transparent.png,,,,🇩🇪 Germany
Amadeus IT Group,"https://ucarecdn.com/0bb963e3-1e5d-4795-a5a5-cb8b7381a3e6/-/crop/1973x657/0,3/-/crop/3:1/-/quality/lightest/-/format/webp/",TRUE,,,🇪🇸 Spain
