id,domain,field,subfield,topic,short-name
https://openalex.org/T11464,Health Sciences,Health Professions,General Health Professions,Impact of Homelessness on Health and Well-being,Homelessness Impact
https://openalex.org/T12151,Health Sciences,Health Professions,General Health Professions,Impact of Language Interpretation in Healthcare,Language Interpretation
https://openalex.org/T11816,Health Sciences,Health Professions,General Health Professions,Impact of Nurse Practitioners in Primary Care,Nurse Practitioners
https://openalex.org/T11744,Health Sciences,Health Professions,General Health Professions,Implementation of Evidence-Based Practice in Healthcare,Practice Implementation
https://openalex.org/T11497,Health Sciences,Health Professions,General Health Professions,Interprofessional Collaboration in Healthcare Teams,Interprofessional Collaboration
https://openalex.org/T12741,Health Sciences,Health Professions,General Health Professions,Maternal and Child Health in Brazil,Maternal Health
https://openalex.org/T11446,Health Sciences,Health Professions,General Health Professions,Mobile Health Interventions and Applications,Mobile Health
https://openalex.org/T11537,Health Sciences,Health Professions,General Health Professions,Moral Distress in Healthcare Professionals,Moral Distress
https://openalex.org/T14090,Health Sciences,Health Professions,General Health Professions,Mortality and Conflict in Global Health,Global Health Mortality
https://openalex.org/T13457,Health Sciences,Health Professions,General Health Professions,Motivation and Career Choices in Dentistry,Dentistry Motivation
https://openalex.org/T11639,Health Sciences,Health Professions,General Health Professions,Patient and Public Engagement in Healthcare Research,Patient Engagement
https://openalex.org/T13861,Health Sciences,Health Professions,General Health Professions,Promotion of Healthy Lifestyles in Young Adults,Healthy Lifestyles
https://openalex.org/T12041,Health Sciences,Health Professions,General Health Professions,Public Health and Health Promotion Framework,Health Promotion
https://openalex.org/T12413,Health Sciences,Health Professions,General Health Professions,Public Health and Healthcare Systems,Healthcare Systems
https://openalex.org/T11376,Health Sciences,Health Professions,General Health Professions,Quality and Practices in Nursing Home Care,Nursing Home Care
https://openalex.org/T12947,Health Sciences,Health Professions,General Health Professions,Salutogenesis and Sense of Coherence in Health,Salutogenesis
https://openalex.org/T10827,Health Sciences,Health Professions,General Health Professions,Shared Decision Making in Healthcare,Decision Making
https://openalex.org/T13555,Health Sciences,Health Professions,General Health Professions,Strategies to Reduce Low-Value Health Care Services,Health Care Strategies
https://openalex.org/T11084,Health Sciences,Health Professions,General Health Professions,Work-related Stress and Health Impact,Work-related Stress
https://openalex.org/T13805,Health Sciences,Health Professions,General Health Professions,Youth Development and Health Education,Health Education
https://openalex.org/T14400,Health Sciences,Health Professions,Health Information Management,Accuracy of Clinical Coding in Healthcare Data,Clinical Coding
https://openalex.org/T13319,Health Sciences,Health Professions,Health Information Management,Cinemeducation in Medical and Management Education,Cinemeducation
https://openalex.org/T10350,Health Sciences,Health Professions,Health Information Management,Impact of Health Information Technology in Healthcare,Health Information Technology
https://openalex.org/T12871,Health Sciences,Health Professions,Health Information Management,Impact of Healthcare Accreditation on Quality Improvement,Healthcare Accreditation
https://openalex.org/T14447,Health Sciences,Health Professions,Health Information Management,Knowledge Management in Healthcare Delivery,Knowledge Management
https://openalex.org/T11396,Health Sciences,Health Professions,Health Information Management,Machine Learning in Healthcare and Medicine,Machine Learning
https://openalex.org/T11555,Health Sciences,Health Professions,Health Information Management,Methodologies in Health Research and Practice,Health Research Methodologies
https://openalex.org/T13960,Health Sciences,Health Professions,Health Information Management,Nutrition Care Process and Model in Dietetics,Nutrition Care
https://openalex.org/T13243,Health Sciences,Health Professions,Health Information Management,Ontology-Based Healthcare Context Information Modeling,Ontology-Based Modeling
https://openalex.org/T14416,Health Sciences,Health Professions,Health Information Management,Opportunities and Challenges for Digital Healthcare Services,Digital Healthcare
https://openalex.org/T14093,Health Sciences,Health Professions,Health Information Management,Patterns and Outcomes of Healthcare Admissions and Policies,Healthcare Patterns
https://openalex.org/T14396,Health Sciences,Health Professions,Health Information Management,Regulation of Healthcare Products and Practices,Healthcare Regulation
https://openalex.org/T13690,Health Sciences,Health Professions,Medical Laboratory Technology,Medical Equipment Maintenance and Management,Equipment Maintenance
https://openalex.org/T13866,Health Sciences,Health Professions,Medical Laboratory Technology,Prevalence of Musculoskeletal Disorders in Dentistry,Musculoskeletal Disorders
https://openalex.org/T14514,Health Sciences,Health Professions,Medical Terminology,Preferred Terminology for Healthcare Recipients,Healthcare Terminology
https://openalex.org/T12207,Health Sciences,Health Professions,Occupational Therapy,Assistive Technology and Disabilities,Assistive Technology
https://openalex.org/T13279,Health Sciences,Health Professions,Occupational Therapy,Occupational Exposure to Antineoplastic Drugs,Antineoplastic Exposure
https://openalex.org/T13315,Health Sciences,Health Professions,Occupational Therapy,Occupational Health and Safety in Workplaces,Occupational Health
https://openalex.org/T13233,Health Sciences,Health Professions,Occupational Therapy,Occupational Health and Safety Management,Health Safety Management
https://openalex.org/T12138,Health Sciences,Health Professions,Occupational Therapy,Occupational Health in Emergency Responders and Military Personnel,Emergency Responder Health
https://openalex.org/T11759,Health Sciences,Health Professions,Occupational Therapy,Occupational Science and Therapy Practice,Occupational Science
https://openalex.org/T12869,Health Sciences,Health Professions,Occupational Therapy,Occupational Stress and Mental Health in Healthcare and Education,Occupational Stress
https://openalex.org/T11670,Health Sciences,Health Professions,Occupational Therapy,Prevention and Treatment of Pressure Ulcers,Pressure Ulcers
https://openalex.org/T13111,Health Sciences,Health Professions,Pharmacy,Family Caregiving and Self-Care in Chronic Illness,Family Caregiving
https://openalex.org/T12339,Health Sciences,Health Professions,Pharmacy,Impact of Medical Malpractice on Healthcare System,Medical Malpractice
https://openalex.org/T13289,Health Sciences,Health Professions,Pharmacy,Infant Crying and Colic Studies,Infant Crying
https://openalex.org/T13768,Health Sciences,Health Professions,Pharmacy,Risk Factors for Gingival Overgrowth in Medication Use,Gingival Overgrowth
https://openalex.org/T12066,Health Sciences,Health Professions,Pharmacy,Weight Stigma and Obesity Management,Weight Stigma
https://openalex.org/T11718,Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",Benefits and Practices of Physical Education in Schools,Physical Education
https://openalex.org/T10114,Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",Gait Analysis and Fall Prevention in Elderly,Gait Analysis
https://openalex.org/T13986,Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",Management and Quality in Rehabilitation Medicine,Rehabilitation Medicine
https://openalex.org/T12315,Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",Mobility and Driving Safety in Older Adults,Driving Safety
https://openalex.org/T13224,Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",Physical Education and Sports Science,Sports Science
https://openalex.org/T13189,Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",Physical Education and Sports Science Research,Sports Science Research
https://openalex.org/T14407,Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",Professional Socialization in Athletic Training Education,Athletic Training
https://openalex.org/T10809,Health Sciences,Health Professions,Radiological and Ultrasound Technology,Enhancing Workplace Safety Culture and Practices,Workplace Safety
https://openalex.org/T12860,Health Sciences,Health Professions,Radiological and Ultrasound Technology,Family-Centered Care in Intensive Care Units,Family-Centered Care
https://openalex.org/T10946,Health Sciences,Health Professions,Radiological and Ultrasound Technology,Sources and Effects of Ionizing Radiation on Human Health,Ionizing Radiation
https://openalex.org/T13813,Health Sciences,Health Professions,Speech and Hearing,Ankyloglossia and its Impact on Breastfeeding and Speech,Ankyloglossia
https://openalex.org/T12831,Health Sciences,Health Professions,Speech and Hearing,Comprehensive Approach to School Health Promotion,School Health
https://openalex.org/T13206,Health Sciences,Health Professions,Speech and Hearing,Development and Care of Infant Skin,Infant Skin Care
https://openalex.org/T13071,Health Sciences,Health Professions,Speech and Hearing,Digital Storytelling in Education and Health Promotion,Digital Storytelling
https://openalex.org/T11358,Health Sciences,Health Professions,Speech and Hearing,Dysphagia and Swallowing Disorders,Swallowing Disorders
https://openalex.org/T11692,Health Sciences,Health Professions,Speech and Hearing,Effects of Noise Pollution on Health and Well-being,Noise Pollution
https://openalex.org/T14507,Health Sciences,Health Professions,Speech and Hearing,Improving Elderly Care and Social Support Systems,Elderly Care
https://openalex.org/T13036,Health Sciences,Health Professions,Speech and Hearing,Mental Health and Well-being in Veterinary Profession,Veterinary Mental Health
https://openalex.org/T14040,Health Sciences,Health Professions,Speech and Hearing,Problem Solving in Health and Education,Problem Solving
https://openalex.org/T12823,Health Sciences,Health Professions,Speech and Hearing,Supporting Health Care Transition from Adolescence to Adulthood,Health Care Transition
https://openalex.org/T14134,Health Sciences,Medicine,Anatomy,Evolution and Usage of Anatomical Nomenclature,Anatomical Nomenclature
https://openalex.org/T10436,Health Sciences,Medicine,Anesthesiology and Pain Medicine,Anesthesia and Sedation Management,Anesthesia Management
https://openalex.org/T11199,Health Sciences,Medicine,Anesthesiology and Pain Medicine,Challenges in Pain Management and Treatment,Pain Management
https://openalex.org/T10830,Health Sciences,Medicine,Anesthesiology and Pain Medicine,Management of Difficult Airway in Anesthesia Practice,Difficult Airway
https://openalex.org/T11840,Health Sciences,Medicine,Anesthesiology and Pain Medicine,Treatment and Mechanisms of Complex Pain Syndromes,Pain Syndromes
https://openalex.org/T10035,Health Sciences,Medicine,Biochemistry,Antioxidants and Free Radicals in Health and Disease,Antioxidants
https://openalex.org/T10693,Health Sciences,Medicine,Biochemistry,Effects of Blood Transfusion in Clinical Practice,Blood Transfusion
https://openalex.org/T10445,Health Sciences,Medicine,Biochemistry,Role of Oxidative Stress in Health and Disease,Oxidative Stress
https://openalex.org/T11112,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,"Aetiology, Diagnosis, and Management of Myocarditis",Myocarditis
https://openalex.org/T10745,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Analysis and Applications of Heart Rate Variability,Heart Rate Variability
https://openalex.org/T11021,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Analysis of Electrocardiogram Signals,Electrocardiogram
https://openalex.org/T11064,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Antiplatelet Therapy in Cardiovascular Disease,Antiplatelet Therapy
https://openalex.org/T10924,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Arterial Stiffness and Cardiovascular Health,Arterial Stiffness
https://openalex.org/T10065,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Atrial Fibrillation,Atrial Fibrillation
https://openalex.org/T11083,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Cardiac Rehabilitation and Cardiovascular Health Interventions,Cardiac Rehabilitation
https://openalex.org/T10598,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Cardiac Resynchronization Therapy in Heart Failure,Cardiac Resynchronization
https://openalex.org/T11535,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Cardiotoxicity of Cancer Treatments,Cardiotoxicity
https://openalex.org/T11217,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Catheter Ablation of Cardiac Arrhythmias,Catheter Ablation
https://openalex.org/T11922,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Diagnosis and Management of Arrhythmogenic Right Ventricular Cardiomyopathy,Arrhythmogenic Cardiomyopathy
https://openalex.org/T11638,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Diagnosis and Management of Cardiac Tumors,Cardiac Tumors
https://openalex.org/T10882,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Diagnosis and Management of Hypertrophic Cardiomyopathy,Hypertrophic Cardiomyopathy
https://openalex.org/T12291,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Diagnosis and Management of Pericardial Diseases,Pericardial Diseases
https://openalex.org/T10198,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Diagnosis and Treatment of Heart Failure,Heart Failure
https://openalex.org/T13381,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Impact of Resting Heart Rate on Cardiovascular Health,Resting Heart Rate
https://openalex.org/T13430,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Lipid Metabolism and Cardiovascular Disease,Lipid Metabolism
https://openalex.org/T10292,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Management of Acute Myocardial Infarction,Myocardial Infarction
https://openalex.org/T12230,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Management of Cardiovascular Diseases during Pregnancy,Cardiovascular Pregnancy
https://openalex.org/T10144,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Management of Hypertension and Cardiovascular Risk Factors,Hypertension Management
https://openalex.org/T10172,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Management of Valvular Heart Disease,Valvular Heart Disease
https://openalex.org/T10217,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Molecular Mechanisms of Cardiac Arrhythmias,Cardiac Arrhythmias
https://openalex.org/T11962,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Molecular Mechanisms of Cardiac Remodeling and Repair,Cardiac Remodeling
https://openalex.org/T12082,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Pathophysiology and Clinical Characteristics of Stress-Induced Cardiomyopathy,Stress-Induced Cardiomyopathy
https://openalex.org/T11930,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Perioperative Cardiac Risk Assessment and Management,Cardiac Risk Assessment
https://openalex.org/T13522,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Promotion and Disease Reduction in Cardiovascular Health,Cardiovascular Promotion
https://openalex.org/T10821,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Recommendations for Cardiac Chamber Quantification by Echocardiography,Cardiac Chamber Quantification
https://openalex.org/T11001,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Renin-Angiotensin System in Cardiovascular Physiology and Pathology,Renin-Angiotensin System
https://openalex.org/T12979,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Role of Perivascular Adipose Tissue in Cardiovascular Health,Perivascular Adipose Tissue
https://openalex.org/T11327,Health Sciences,Medicine,Complementary and alternative medicine,Acupuncture Mechanisms and Clinical Applications,Acupuncture
https://openalex.org/T11209,Health Sciences,Medicine,Complementary and alternative medicine,Exercise Physiology and Cardiovascular Health,Exercise Physiology
https://openalex.org/T13846,Health Sciences,Medicine,Complementary and alternative medicine,Health Benefits of Mangiferin,Mangiferin Benefits
https://openalex.org/T13090,Health Sciences,Medicine,Complementary and alternative medicine,Herbal Medicine for Mental Health Treatment,Herbal Mental Health
https://openalex.org/T12891,Health Sciences,Medicine,Complementary and alternative medicine,Herbal Medicine for Neurological Disorders,Herbal Neurology
https://openalex.org/T10902,Health Sciences,Medicine,Complementary and alternative medicine,Herbal Medicine Use and Safety Monitoring,Herbal Safety
https://openalex.org/T12647,Health Sciences,Medicine,Complementary and alternative medicine,Integration of Traditional Medicine and Modern Science,Traditional Medicine
https://openalex.org/T13776,Health Sciences,Medicine,Complementary and alternative medicine,Medicinal and Therapeutic Potential of Sea Buckthorn,Sea Buckthorn
https://openalex.org/T13281,Health Sciences,Medicine,Complementary and alternative medicine,Medicinal Properties of Andrographis Paniculata,Andrographis Paniculata
https://openalex.org/T14478,Health Sciences,Medicine,Complementary and alternative medicine,Medicinal Properties of Carica Papaya,Carica Papaya
https://openalex.org/T13483,Health Sciences,Medicine,Complementary and alternative medicine,Medicinal Properties of Echinacea Species,Echinacea
https://openalex.org/T13919,Health Sciences,Medicine,Complementary and alternative medicine,Medicinal Properties of Stinging Nettle,Stinging Nettle
https://openalex.org/T14461,Health Sciences,Medicine,Complementary and alternative medicine,Medicinal Uses of Clinacanthus Nutans Plant,Clinacanthus Nutans
https://openalex.org/T12846,Health Sciences,Medicine,Complementary and alternative medicine,Therapeutic Effects of Ginkgo Biloba Extracts,Ginkgo Biloba
https://openalex.org/T12298,Health Sciences,Medicine,Complementary and alternative medicine,Therapeutic Potential of Ayurvedic Medicine,Ayurvedic Medicine
https://openalex.org/T13026,Health Sciences,Medicine,Complementary and alternative medicine,Therapeutic Potential of Herbal Medicines,Herbal Medicines
https://openalex.org/T12750,Health Sciences,Medicine,Complementary and alternative medicine,Therapeutic Potential of Nigella sativa,Nigella sativa
https://openalex.org/T13792,Health Sciences,Medicine,Complementary and alternative medicine,Therapeutic Properties of Morinda citrifolia,Morinda citrifolia
https://openalex.org/T13444,Health Sciences,Medicine,Complementary and alternative medicine,Traditional Chinese Medicine and Healthcare Practices,Chinese Medicine
https://openalex.org/T11709,Health Sciences,Medicine,Complementary and alternative medicine,Traditional Chinese Medicine in Modern Science,Chinese Medicine Science
https://openalex.org/T11116,Health Sciences,Medicine,Critical Care and Intensive Care Medicine,Fluid Resuscitation in Trauma and Critical Care,Fluid Resuscitation
https://openalex.org/T10867,Health Sciences,Medicine,Critical Care and Intensive Care Medicine,Management of Delirium in Critical Care Patients,Delirium Management
https://openalex.org/T11681,Health Sciences,Medicine,Critical Care and Intensive Care Medicine,Management of Ventilator-associated Pneumonia in ICU Patients,Ventilator Pneumonia
https://openalex.org/T11738,Health Sciences,Medicine,Critical Care and Intensive Care Medicine,Role of Lung Ultrasound in Critical Care,Lung Ultrasound
https://openalex.org/T11861,Health Sciences,Medicine,Critical Care and Intensive Care Medicine,Therapeutic Hypothermia and Fever Management,Therapeutic Hypothermia
https://openalex.org/T10837,Health Sciences,Medicine,Dermatology,Atopic Dermatitis and Skin Microbiome,Atopic Dermatitis
https://openalex.org/T12937,Health Sciences,Medicine,Dermatology,Chemotherapy-Induced Dermatological Toxicity,Chemotherapy Toxicity
https://openalex.org/T11811,Health Sciences,Medicine,Dermatology,Classification and Treatment of Cutaneous Lymphomas,Cutaneous Lymphomas
https://openalex.org/T11868,Health Sciences,Medicine,Dermatology,Cutaneous Adnexal Neoplasms and Related Syndromes,Adnexal Neoplasms
https://openalex.org/T12796,Health Sciences,Medicine,Dermatology,Cutaneous Manifestations of COVID-19: A Comprehensive Review,Cutaneous COVID-19
https://openalex.org/T11322,Health Sciences,Medicine,Dermatology,Facial Fillers and Rejuvenation Techniques,Facial Fillers
https://openalex.org/T11553,Health Sciences,Medicine,Dermatology,Management and Pathophysiology of Acne and Rosacea,Acne Rosacea
https://openalex.org/T11013,Health Sciences,Medicine,Dermatology,Mechanisms of Skin Aging and Photodamage,Skin Aging
https://openalex.org/T12433,Health Sciences,Medicine,Dermatology,Obesity's Impact on Skin Physiology and Disorders,Skin Obesity
https://openalex.org/T13597,Health Sciences,Medicine,Dermatology,Prurigo Pigmentosa: Inflammatory Skin Disease,Prurigo Pigmentosa
https://openalex.org/T11172,Health Sciences,Medicine,Dermatology,Skin Scarring and Remodeling Mechanisms,Skin Scarring
https://openalex.org/T11033,Health Sciences,Medicine,Dermatology,Skin Sensitization and Contact Allergy Research,Skin Sensitization
https://openalex.org/T12731,Health Sciences,Medicine,Dermatology,Treatment and Pathogenesis of Hidradenitis Suppurativa,Hidradenitis Suppurativa
https://openalex.org/T14354,Health Sciences,Medicine,Emergency Medicine,Challenges and Innovations in Emergency Medicine,Emergency Medicine
https://openalex.org/T11473,Health Sciences,Medicine,Emergency Medicine,Diagnosis and Management of Appendicitis,Appendicitis Management
https://openalex.org/T13374,Health Sciences,Medicine,Emergency Medicine,Diagnostic Approach to Fever of Unknown Origin,Fever of Unknown Origin
https://openalex.org/T11095,Health Sciences,Medicine,Emergency Medicine,Emergency Department Crowding,Emergency Crowding
https://openalex.org/T13001,Health Sciences,Medicine,Emergency Medicine,Factors and Risks in Restraint-Related Deaths,Restraint Deaths
https://openalex.org/T11655,Health Sciences,Medicine,Emergency Medicine,Impact of HIV Infection on Cardiovascular Health,HIV Cardiovascular
https://openalex.org/T12174,Health Sciences,Medicine,Emergency Medicine,Impact of Hospital Handoffs on Patient Care,Hospital Handoffs
https://openalex.org/T11467,Health Sciences,Medicine,Emergency Medicine,Impact of Trauma Care Systems on Mortality,Trauma Care
https://openalex.org/T14126,Health Sciences,Medicine,Emergency Medicine,Intramuscular Injection Techniques and Complications,Intramuscular Injection
https://openalex.org/T10645,Health Sciences,Medicine,Emergency Medicine,Management of Cardiac Arrest and Resuscitation,Cardiac Arrest
https://openalex.org/T11635,Health Sciences,Medicine,Emergency Medicine,Management of Poisoning and Toxic Exposures,Poisoning Management
https://openalex.org/T11140,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism","Diabetes, Oxidative Stress, and Antioxidants",Diabetes Oxidative Stress
https://openalex.org/T12421,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Diagnosis and Management of Adrenal Insufficiency,Adrenal Insufficiency
https://openalex.org/T10832,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Diagnosis and Management of Pituitary Disorders,Pituitary Disorders
https://openalex.org/T10694,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Effects of Hormones on Menopausal Women's Health,Menopausal Health
https://openalex.org/T13966,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Hyperglycemic Chorea and Basal Ganglia Lesions,Hyperglycemic Chorea
https://openalex.org/T12964,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Impact of Fructose on Metabolic Health,Fructose Impact
https://openalex.org/T11623,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Impact of Hyperglycemia on Health Outcomes,Hyperglycemia
https://openalex.org/T10748,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Insulin-like Growth Factors in Health and Disease,Insulin-like Growth Factors
https://openalex.org/T11146,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Long-Term Effects of Testosterone on Health,Testosterone Effects
https://openalex.org/T10329,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Management and Diagnosis of Thyroid Cancer,Thyroid Cancer
